Region,State name full,State code,FIPS,BW_unemployment,CensusYear,BW_poverty,bwrato_homeownership,bwedu,Dissimilarity,isolation,Interaction
South,Alabama,AL,1,2.68388,1990,3.1641,0.76314,0.53504,0.60634,0.58332,0.41668
West,Alaska,AK,2,1.59273,1990,0.40783,0.47667,0.52657,0.47633,0.12631,0.87369
West,Arizona,AZ,4,2.03384,1990,1.22424,0.61922,0.64493,0.47074,0.1547,0.8453
South,Arkansas,AR,5,2.45372,1990,2.87705,0.7319,0.59475,0.62469,0.47579,0.52421
West,California,CA,6,2.1902,1990,2.12157,0.60611,0.58306,0.61595,0.44574,0.55426
West,Colorado,CO,8,2.16051,1990,2.06776,0.5912,0.60559,0.64287,0.31404,0.68596
NorthEast,Connecticut,CT,9,2.53347,1990,4.19039,0.44748,0.43237,0.67002,0.43738,0.56262
South,Delaware,DE,10,2.58999,1990,3.78869,0.65122,0.46002,0.45285,0.40467,0.59533
South,Florida,FL,12,2.30444,1990,3.28688,0.66833,0.50772,0.6465,0.51754,0.48246
South,Georgia,GA,13,2.67443,1990,3.42552,0.64377,0.50485,0.57635,0.56879,0.43121
West,Hawaii,HI,15,1.61709,1990,0.93271,0.25804,0.5034,0.48868,0.1648,0.8352
West,Idaho,ID,16,1.76309,1990,0.49367,0.54194,0.87889,0.44229,0.02242,0.97758
MidWest,Illinois,IL,17,3.59658,1990,3.95871,0.54428,0.50801,0.80099,0.74153,0.25847
MidWest,Indiana,IN,18,2.83942,1990,3.14521,0.63539,0.58804,0.75784,0.57314,0.42686
MidWest,Iowa,IA,19,3.15413,1990,3.10115,0.54792,0.76216,0.62886,0.21141,0.78859
MidWest,Kansas,KS,20,3.10267,1990,2.68058,0.61697,0.53661,0.62593,0.38051,0.61949
South,Kentucky,KY,21,1.97929,1990,1.94243,0.60357,0.55566,0.62267,0.40429,0.59571
South,Louisiana,LA,22,3.03346,1990,3.37401,0.70744,0.48785,0.57641,0.59901,0.40099
NorthEast,Maine,ME,23,1.33803,1990,0.90653,0.49538,1.19013,0.45761,0.02388,0.97612
South,Maryland,MD,24,2.58003,1990,3.07575,0.59948,0.55503,0.64781,0.63473,0.36527
NorthEast,Massachusetts,MA,25,2.06265,1990,3.19098,0.42095,0.61294,0.65436,0.44067,0.55933
MidWest,Michigan,MI,26,3.07692,1990,3.45491,0.63842,0.55494,0.82675,0.73724,0.26276
MidWest,Minnesota,MN,27,3.11177,1990,3.25649,0.41023,0.79803,0.65447,0.27897,0.72103
South,Mississippi,MS,28,3.10188,1990,3.49045,0.78209,0.50835,0.49868,0.57031,0.42969
MidWest,Missouri,MO,29,2.68577,1990,2.57721,0.63282,0.61111,0.74743,0.61618,0.38382
West,Montana,MT,30,2.5504,1990,0.15191,0.53474,0.90214,0.49731,0.02768,0.97232
MidWest,Nebraska,NE,31,3.91466,1990,2.82054,0.58255,0.64766,0.72768,0.43257,0.56743
West,Nevada,NV,32,1.96571,1990,2.31508,0.57251,0.56281,0.50957,0.3324,0.6676
NorthEast,New Hampshire,NH,33,1.58102,1990,1.56058,0.49823,1.06212,0.41796,0.0224,0.9776
NorthEast,New Jersey,NJ,34,2.53148,1990,3.82977,0.52989,0.52627,0.6963,0.58018,0.41982
West,New Mexico,NM,35,1.98692,1990,0.49052,0.62093,0.60843,0.42644,0.08301,0.91699
